"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"259",608335,"Funkhouser, Kyle","1189","21.8","0.149","0.045","0.250","0.194","0.202","0.235","0.170","10","67","88.9","21.8","2161","95.8","96.43","36","136","123","0.6","6.63","111","158","120","149","295","325","300"
"258",663765,"Woodford, Jake","1156","22.3","0.250","0.135","0.279","0.385","0.310","0.302","0.246","13","52","91.1","15.8","2217","92.1","92.36","19","116","142","0.3","6.38","116","154","117","148","296","319","296"
"256",623485,"Goudeau, Ashton","564","45.4","0.236","0.218","0.244","0.455","0.362","0.374","0.256","13","55","88.1","10.7","2058","92.7","92.84","20","129","126","0.1","6.38","112","150","122","148","297","325","302"
"253",657097,"Webb, Jacob","568","44.5","0.288","0.182","0.340","0.470","0.356","0.367","0.278","19","66","93.8","22.0","2415","94.1","93.66","28","127","126","-0.4","6.10","108","147","124","143","299","319","295"
"250",605194,"Cotton, Jharel","541","46.2","0.214","0.167","0.212","0.381","0.342","0.379","0.235","9","42","85.5","32.0","2297","93.2","91.05","32","131","119","-2.1","5.03","111","156","126","146","303","325","297"
"248",623364,"Wieck, Brad","293","84.6","0.189","0.057","0.323","0.245","0.267","0.272","0.180","10","53","91.2","15.9","2297","92.6","94.13","28","103","145","1.5","7.17","110","154","117","153","293","315","298"
"246",656354,"Davis, Austin","473","52.0","0.230","0.213","0.275","0.443","0.324","0.326","0.237","14","61","88.3","13.8","2163","93.6","93.49","27","115","131","-0.1","6.23","112","154","119","149","294","326","295"
"245",518553,"Cishek, Steve","1255","19.5","0.089","0.054","0.179","0.143","0.177","0.252","0.158","5","56","88.4","25.0","2385","89.7","91.87","45","121","124","2.2","7.59","115","159","120","150","298","325","300"
"244",592858,"Wick, Rowan","400","61.0","0.182","0.023","0.286","0.205","0.290","0.306","0.160","8","44","87.1","16.9","2282","94.6","94.97","23","90","154","0.4","6.50","108","154","116","151","297","324","300"
"243",527048,"Pérez, Martín","1860","13.1","0.250","0.227","0.258","0.477","0.313","0.326","0.251","11","44","90.7","19.9","2107","93.4","92.55","18","105","138","-0.9","5.84","108","153","117","147","296","327","292"
"241",641302,"Alexander, Tyler","1640","14.7","0.253","0.173","0.281","0.427","0.312","0.343","0.249","19","75","89.2","21.6","2189","90.5","90.44","20","121","120","-0.1","6.25","109","155","121","148","297","324","297"
"240",670456,"Hammer, JD","405","59.3","0.283","0.239","0.313","0.522","0.396","0.355","0.253","13","46","93.6","15.9","2298","94.0","93.26","22","107","133","-0.7","6.01","108","149","113","147","295","323","292"
"240",607231,"Gant, John","1975","12.2","0.271","0.188","0.379","0.458","0.343","0.251","0.179","13","48","78.2","12.2","2442","92.0","91.84","24","109","131","-0.2","6.29","109","157","115","148","296","321","296"
"237",641682,"Hendrix, Ryan","540","43.9","0.375","0.357","0.340","0.732","0.490","0.453","0.360","21","56","94.4","15.8","2225","96.4","95.97","7","91","146","-0.4","5.94","110","150","117","148","295","320","292"
"237",493603,"Ottavino, Adam","1146","20.7","0.106","0.064","0.208","0.170","0.192","0.235","0.157","5","47","93.0","17.0","2438","95.5","96.64","38","112","125","1.1","6.92","112","153","117","147","287","325","299"
"235",592135,"Bedrosian, Cam","468","50.2","0.326","0.283","0.355","0.609","0.447","0.421","0.303","15","46","92.4","20.5","2261","92.9","92.43","23","103","132","-0.5","6.05","109","151","118","149","299","324","294"
"234",621593,"Castro, Anthony","455","51.4","0.271","0.208","0.297","0.479","0.364","0.338","0.258","13","48","90.8","11.9","2486","95.2","96.37","18","107","127","1.2","6.75","109","153","118","148","295","316","289"
"233",656887,"Reid-Foley, Sean","371","62.8","0.292","0.167","0.375","0.458","0.360","0.365","0.269","14","48","89.9","18.7","2139","93.7","95.05","31","112","121","1.3","7.14","112","151","113","147","300","325","301"
"232",595939,"Ellis, Chris","482","48.1","0.170","0.149","0.150","0.319","0.269","0.364","0.244","8","47","91.1","30.5","2365","93.8","93.80","22","105","127","0.0","6.53","109","155","117","149","296","324","293"
"232",608349,"Knebel, Corey","399","58.1","0.167","0.146","0.207","0.313","0.266","0.297","0.197","8","48","94.3","19.1","2403","96.3","96.58","39","119","113","0.3","6.44","114","157","116","150","300","320","294"
"231",669935,"Alexy, A.J.","424","54.5","0.114","0.159","0.086","0.273","0.269","0.404","0.281","5","44","88.4","26.8","2218","93.3","93.88","18","110","121","0.6","6.72","115","157","126","148","308","325","297"
"230",622780,"Perdomo, Angel","354","65.0","0.184","0.237","0.211","0.421","0.357","0.386","0.198","7","38","90.4","19.8","2487","94.3","94.88","35","104","126","0.6","6.58","110","150","116","147","296","320","294"
"229",670990,"Ramirez, Yohan","436","52.5","0.224","0.265","0.200","0.490","0.370","0.362","0.221","11","49","86.2","20.4","2310","95.4","96.40","24","105","124","1.0","6.97","111","153","115","148","292","317","293"
"228",543594,"Nolin, Sean","499","45.7","0.383","0.213","0.432","0.596","0.456","0.345","0.245","18","47","87.9","11.9","2087","90.7","91.36","20","110","118","0.7","6.62","108","152","117","143","298","323","299"
"228",676831,"Whitley, Kodi","401","56.9","0.192","0.096","0.273","0.288","0.281","0.305","0.206","10","52","88.4","18.1","2248","93.7","93.35","29","116","112","-0.3","6.16","115","155","120","148","296","317","294"
"222",656548,"Holloway, Jordan","664","33.4","0.220","0.146","0.258","0.366","0.334","0.424","0.309","9","41","91.0","12.5","2184","95.4","95.30","17","80","142","-0.1","6.29","107","149","117","147","297","315","286"
"221",656685,"Martin, Brett","918","24.1","0.290","0.097","0.309","0.387","0.321","0.303","0.270","18","62","86.1","6.9","2195","93.6","93.40","10","117","104","-0.2","6.16","111","154","120","146","298","324","294"
"220",681806,"Wantz, Andrew","483","45.5","0.250","0.125","0.391","0.375","0.353","0.365","0.246","10","40","88.6","24.9","2283","93.2","93.03","31","101","119","-0.2","6.17","111","157","117","148","302","326","296"
"219",657248,"Otto, Glenn","448","48.9","0.378","0.189","0.433","0.568","0.448","0.382","0.290","14","37","90.1","6.0","2186","92.6","94.18","15","98","121","1.6","7.14","116","155","120","148","301","320","295"
"219",656686,"Martin, Corbin","342","64.0","0.405","0.486","0.440","0.892","0.577","0.510","0.332","15","37","90.3","13.6","2348","94.1","93.81","18","103","116","-0.3","6.19","109","152","119","151","303","330","300"
"218",453265,"Watson, Tony","866","25.2","0.208","0.104","0.313","0.313","0.265","0.242","0.179","10","48","86.9","16.0","2310","92.5","92.03","18","90","128","-0.5","6.15","112","154","113","150","299","324","298"
"218",657277,"Webb, Logan","2214","9.8","0.257","0.057","0.391","0.314","0.330","0.320","0.230","9","35","84.9","15.1","2133","93.2","94.19","17","81","137","1.0","6.77","112","155","115","151","297","322","297"
"218",596001,"Junis, Jakob","627","34.8","0.296","0.296","0.273","0.593","0.393","0.459","0.346","16","54","94.2","11.5","2243","90.8","90.22","12","94","124","-0.6","5.81","108","159","114","147","295","321","302"
"217",598287,"Ramirez, Noé","579","37.5","0.190","0.119","0.200","0.310","0.291","0.291","0.177","8","42","88.1","32.3","2210","89.1","88.98","20","89","128","-0.1","6.12","112","153","118","149","295","325","296"
"216",571735,"Hale, David","461","46.9","0.353","0.157","0.425","0.510","0.402","0.440","0.362","18","51","95.5","8.8","2225","92.8","93.56","16","99","117","0.8","6.64","111","150","116","148","299","326","294"
"215",448855,"Guerra, Junior","1225","17.6","0.316","0.211","0.345","0.526","0.412","0.346","0.232","12","38","90.6","22.2","2329","92.2","92.25","22","91","124","0.1","6.45","115","158","118","152","298","325","301"
"215",593140,"Feliz, Michael","370","58.1","0.352","0.278","0.417","0.630","0.428","0.423","0.333","19","54","93.9","18.9","2179","93.8","94.56","19","104","111","0.8","6.83","109","153","120","148","292","321","289"
"214",456034,"Price, David","1178","18.2","0.227","0.091","0.310","0.318","0.272","0.236","0.181","10","44","85.7","15.4","2019","92.9","92.59","32","108","106","-0.3","6.01","109","155","114","150","301","319","294"
"213",605276,"Hess, David","367","58.0","0.333","0.375","0.324","0.708","0.470","0.450","0.302","16","48","94.7","18.9","2085","94.0","93.03","17","103","110","-1.0","5.75","111","152","118","150","299","319","289"
"212",622446,"Rodriguez, Jefry","412","51.5","0.226","0.113","0.278","0.340","0.319","0.291","0.194","12","53","90.2","22.5","2362","94.7","95.74","23","102","110","1.0","6.86","112","155","122","146","300","318","295"
"212",607625,"Lugo, Seth","730","29.0","0.164","0.036","0.321","0.200","0.225","0.245","0.178","9","55","87.3","16.0","2229","94.2","93.75","45","108","104","-0.4","6.08","112","155","114","149","302","327","301"
"211",608650,"Enns, Dietrich","360","58.6","0.227","0.114","0.333","0.341","0.287","0.244","0.181","10","44","82.6","21.7","2246","94.2","94.30","30","118","93","0.1","6.46","103","158","121","148","300","323","295"
"210",669294,"Campbell, Paul","468","44.9","0.367","0.306","0.429","0.673","0.455","0.403","0.311","18","49","91.8","20.0","2476","92.7","91.78","19","111","99","-0.9","5.74","108","149","115","146","298","315","289"
"207",669618,"Barlow, Joe","455","45.5","0.160","0.160","0.158","0.320","0.253","0.319","0.231","8","50","89.7","20.5","2256","94.4","94.07","20","114","93","-0.3","6.09","113","155","122","146","304","324","294"
"207",676265,"Abbott, Cory","352","58.8","0.378","0.486","0.310","0.865","0.546","0.488","0.320","14","37","91.3","20.1","2320","92.6","92.20","14","99","108","-0.4","6.19","109","151","115","150","295","325","302"
"205",685503,"Arihara, Kohei","696","29.5","0.406","0.438","0.385","0.844","0.554","0.601","0.428","13","32","93.3","19.2","2158","91.3","90.23","4","61","144","-1.1","6.63","116","158","117","148","296","323","299"
"205",674944,"Guenther, Sean","360","56.9","0.333","0.179","0.375","0.513","0.422","0.393","0.277","13","39","86.5","11.8","2233","93.0","92.58","23","96","109","-0.4","6.02","103","148","116","147","302","323","287"
"205",605242,"Fulmer, Michael","1183","17.3","0.200","0.257","0.227","0.457","0.325","0.382","0.264","7","35","88.0","14.4","2200","95.5","96.02","27","89","116","0.5","6.60","111","155","117","150","296","328","300"
"202",666129,"Garrett, Braxton","604","33.4","0.279","0.140","0.355","0.419","0.377","0.400","0.302","12","43","87.0","15.7","2186","90.3","90.56","12","86","116","0.3","6.46","103","150","115","147","300","318","284"
"201",571948,"Milner, Hoby","393","51.1","0.377","0.264","0.444","0.642","0.441","0.416","0.342","20","53","86.9","18.8","1973","89.2","89.36","18","103","98","0.2","6.50","107","154","123","145","298","324","299"
"201",605138,"Benjamin, Wes","461","43.6","0.286","0.171","0.333","0.457","0.405","0.420","0.289","10","35","92.1","27.6","2300","91.3","90.81","18","94","107","-0.5","6.00","112","155","121","147","300","325","296"
"200",570666,"Cessa, Luis","949","21.1","0.245","0.163","0.256","0.408","0.334","0.361","0.267","12","49","90.6","12.1","2232","93.8","93.04","13","88","112","-0.8","5.83","113","154","118","148","293","321","290"
"200",621107,"Eflin, Zach","1615","12.4","0.263","0.158","0.346","0.421","0.337","0.288","0.221","10","38","90.7","21.6","2149","93.1","93.80","28","89","111","0.7","6.72","111","152","116","148","296","323","295"
"199",643230,"Brault, Steven","498","40.0","0.250","0.225","0.281","0.475","0.352","0.399","0.286","10","40","91.0","15.8","2068","90.7","91.51","18","103","96","0.8","6.79","108","150","116","147","301","319","287"
"193",595345,"Okert, Steven","601","32.1","0.242","0.212","0.292","0.455","0.393","0.416","0.256","8","33","93.5","17.5","2231","92.2","92.17","16","83","110","0.0","6.36","108","149","118","146","297","319","287"
"191",664076,"Cleavinger, Garrett","356","53.7","0.359","0.256","0.333","0.615","0.439","0.397","0.278","14","39","88.6","6.5","2290","95.8","95.92","12","83","108","0.1","6.26","112","156","115","150","298","317","293"
"190",608652,"Farrell, Luke","473","40.2","0.394","0.212","0.414","0.606","0.466","0.506","0.419","13","33","96.0","13.6","2379","91.3","91.38","11","72","118","0.1","6.31","109","156","116","150","302","332","296"
"189",663878,"Pearson, Nate","301","62.8","0.211","0.132","0.318","0.342","0.321","0.305","0.186","8","38","93.4","23.2","2201","97.8","98.15","23","75","114","0.3","6.68","106","151","130","145","292","323","292"
"188",676606,"Margevicius, Nick","259","72.6","0.235","0.088","0.333","0.324","0.307","0.328","0.242","8","34","90.4","17.3","2172","89.5","90.00","13","84","104","0.5","6.69","108","153","114","146","299","325","298"
"188",571945,"Mikolas, Miles","709","26.5","0.167","0.111","0.179","0.278","0.214","0.340","0.279","6","36","88.1","7.4","2300","93.2","93.48","16","91","97","0.3","6.40","118","158","116","149","294","318","295"
"187",596027,"Maples, Dillon","565","33.1","0.167","0.167","0.129","0.333","0.324","0.413","0.281","6","36","89.8","4.4","2658","95.1","95.12","11","77","110","0.0","6.08","114","154","117","149","292","316","293"
"186",665795,"Cabrera, Edward","482","38.6","0.229","0.200","0.261","0.429","0.370","0.489","0.338","8","35","91.6","18.5","2266","96.7","96.34","14","77","109","-0.4","6.53","110","147","113","147","299","319","285"
"182",656793,"Nelson, Nick","338","53.8","0.450","0.300","0.600","0.750","0.578","0.534","0.345","9","20","97.9","11.5","2070","96.4","96.35","17","74","108","0.0","6.37","108","150","113","147","294","324","286"
"182",519443,"Workman, Brandon","515","35.3","0.364","0.333","0.409","0.697","0.502","0.421","0.289","12","33","93.2","15.0","2050","91.1","93.21","17","76","106","2.1","7.48","107","151","116","146","297","327","295"
"182",458708,"Tomlin, Josh","808","22.5","0.286","0.143","0.300","0.429","0.320","0.329","0.299","14","49","90.4","28.4","2311","88.9","87.96","11","91","91","-0.9","5.76","110","151","133","147","301","321","293"
"181",622503,"Crismatt, Nabil","1337","13.5","0.306","0.306","0.296","0.611","0.427","0.462","0.331","11","36","94.3","13.1","2137","90.1","91.40","9","67","114","1.3","7.03","111","154","125","146","301","323","309"
"179",621074,"Rucker, Michael","490","36.5","0.302","0.302","0.321","0.605","0.421","0.450","0.313","13","43","93.6","22.1","2246","95.1","95.18","24","93","86","0.1","6.31","106","153","115","149","300","325","302"
"178",650668,"Mejía, Humberto","421","42.3","0.450","0.600","0.433","1.050","0.626","0.457","0.330","18","40","92.1","25.9","2168","92.0","91.44","16","101","77","-0.6","6.07","112","154","122","150","296","323","291"
"178",667376,"Sánchez, Miguel","470","37.9","0.441","0.441","0.393","0.882","0.560","0.545","0.418","15","34","90.0","25.1","2234","94.2","94.31","25","98","80","0.1","6.26","109","151","118","146","298","322","299"
"177",664042,"Lakins Sr., Travis","501","35.3","0.167","0.056","0.214","0.222","0.242","0.303","0.200","6","36","91.0","21.4","2237","93.4","92.79","19","74","103","-0.6","5.96","104","149","118","148","299","323","294"
"176",608334,"Fulmer, Carson","448","39.3","0.419","0.355","0.440","0.774","0.555","0.512","0.361","13","31","91.9","12.7","2278","93.2","93.13","12","67","109","-0.1","6.24","111","155","120","148","296","321","291"
"174",623454,"Anderson, Drew","352","49.4","0.238","0.095","0.257","0.333","0.284","0.302","0.240","10","42","91.1","22.8","2128","92.5","92.47","20","89","85","0.0","6.32","113","157","124","148","304","328","297"
"173",519076,"Nelson, Jimmy","523","33.1","0.171","0.057","0.273","0.229","0.236","0.214","0.135","6","35","84.1","24.7","2613","93.8","94.27","16","63","110","0.5","6.44","110","157","112","150","299","318","293"
"173",595191,"Eickhoff, Jerad","357","48.5","0.352","0.426","0.283","0.778","0.479","0.489","0.389","19","54","91.6","18.6","2057","90.0","90.17","4","95","78","0.2","6.40","113","154","111","146","301","330","299"
"173",571946,"Miller, Shelby","273","63.4","0.290","0.226","0.292","0.516","0.426","0.414","0.293","9","31","91.6","16.5","2363","93.5","95.01","15","68","105","1.5","7.15","111","149","121","146","299","321","294"
"172",641907,"Murphy, Patrick","486","35.4","0.243","0.162","0.348","0.405","0.305","0.281","0.215","9","37","94.0","12.4","2157","96.7","97.01","22","88","84","0.3","6.44","108","149","116","142","301","324","292"
"171",672282,"Detmers, Reid","379","45.1","0.407","0.444","0.348","0.852","0.545","0.512","0.352","11","27","93.0","32.7","2078","92.9","92.21","18","82","89","-0.7","5.85","108","155","113","147","302","326","293"
"168",660600,"Paredes, Enoli","254","66.1","0.294","0.000","0.455","0.294","0.449","0.476","0.281","5","17","97.7","17.8","2390","95.3","95.42","12","50","118","0.1","6.28","111","152","117","150","292","325","296"
"164",664157,"Bergen, Travis","188","87.2","0.161","0.129","0.154","0.290","0.314","0.357","0.198","5","31","85.9","20.0","2341","92.3","91.71","16","74","90","-0.6","6.02","106","155","120","146","289","317","286"
"164",605154,"Brebbia, John","332","49.4","0.256","0.051","0.435","0.308","0.267","0.230","0.204","10","39","89.5","8.6","2257","92.9","93.66","27","88","76","0.8","6.76","106","150","113","146","297","318","293"
"162",528748,"Castellanos, Humberto","726","22.3","0.222","0.185","0.217","0.407","0.362","0.411","0.296","6","27","88.3","18.2","2074","90.4","90.05","8","60","102","-0.3","6.07","109","151","115","152","290","322","295"
"161",605195,"Crick, Kyle","434","37.1","0.091","0.045","0.105","0.136","0.349","0.469","0.240","2","22","83.0","15.8","2305","92.6","92.83","10","50","111","0.2","6.34","108","149","118","147","300","319","289"
"161",594795,"Dayton, Grant","250","64.4","0.379","0.310","0.400","0.690","0.449","0.364","0.285","11","29","89.2","16.4","2186","91.5","91.71","18","82","79","0.2","6.47","104","147","119","147","301","318","292"
"161",658551,"Fernández, Junior","372","43.3","0.400","0.250","0.452","0.650","0.490","0.428","0.338","16","40","91.1","5.1","2174","97.7","98.28","16","78","83","0.6","6.64","110","153","124","147","295","311","291"
"160",543045,"Conley, Adam","296","54.1","0.250","0.281","0.261","0.531","0.364","0.298","0.199","8","32","90.3","7.3","2340","95.7","95.49","18","87","73","-0.2","6.47","104","153","116","149","298","322","295"
"160",664714,"Newsome, Ljay","276","58.0","0.250","0.194","0.318","0.444","0.305","0.304","0.219","9","36","88.3","26.8","2036","92.6","92.07","24","94","66","-0.5","6.01","109","151","118","146","297","329","300"
"158",641632,"Greene, Conner","447","35.3","0.324","0.135","0.367","0.459","0.370","0.400","0.332","12","37","87.2","17.7","2336","96.0","96.01","19","89","69","0.0","6.53","111","150","118","148","294","324","291"
"158",650496,"Mejía, J.C.","982","16.1","0.321","0.429","0.316","0.750","0.473","0.431","0.316","9","28","96.4","11.1","2203","93.0","92.90","8","66","92","-0.1","6.07","119","154","118","151","291","319","294"
"157",595465,"Winkler, Dan","787","19.9","0.172","0.172","0.235","0.345","0.330","0.309","0.151","5","29","83.9","20.6","2551","94.0","94.45","18","69","88","0.5","6.58","112","153","115","151","297","322","297"
"157",571800,"Hutchison, Drew","339","46.3","0.250","0.056","0.273","0.306","0.315","0.398","0.295","9","36","94.3","13.0","2147","92.4","91.99","13","75","82","-0.4","5.97","110","156","113","148","299","330","296"
"155",596071,"Peters, Dillon","443","35.0","0.290","0.097","0.321","0.387","0.337","0.360","0.282","9","31","87.7","12.1","2256","90.8","90.67","10","70","85","-0.1","6.13","106","151","117","147","304","318","289"
"155",502522,"Miller, Justin","295","52.5","0.326","0.372","0.300","0.698","0.444","0.474","0.349","14","43","95.4","20.2","2296","92.8","92.96","16","82","73","0.2","6.40","113","153","121","147","298","320","297"
"154",663366,"Burrows, Beau","267","57.7","0.320","0.360","0.300","0.680","0.427","0.409","0.291","8","25","94.5","24.5","2194","93.1","91.85","13","85","69","-1.2","5.54","104","154","117","147","300","330","288"
"152",501925,"Smith, Joe","650","23.4","0.353","0.235","0.417","0.588","0.411","0.329","0.267","12","34","86.7","25.5","1995","87.4","87.84","15","87","65","0.4","6.75","114","149","117","147","288","322","291"
"152",643778,"Webb, Tyler","392","38.8","0.333","0.111","0.450","0.444","0.423","0.391","0.279","9","27","95.0","13.6","2129","90.6","91.11","15","70","82","0.5","6.60","108","150","118","145","295","318","294"
"151",488748,"Buchter, Ryan","294","51.4","0.355","0.419","0.333","0.774","0.506","0.426","0.277","11","31","94.7","20.4","2217","90.5","91.03","12","71","80","0.5","6.77","109","152","117","150","303","329","299"
"149",656353,"Davidson, Tucker","303","49.2","0.313","0.281","0.320","0.594","0.413","0.490","0.352","10","32","92.1","5.9","2026","93.0","93.09","11","69","80","0.1","6.18","104","148","120","147","305","316","282"
"149",665645,"Castro, Kervin","201","74.1","0.243","0.027","0.310","0.270","0.252","0.309","0.231","9","37","84.8","19.2","2275","94.5","95.79","23","78","71","1.3","6.84","112","155","115","149","298","324","301"
"147",502042,"Archer, Chris","327","45.0","0.292","0.375","0.294","0.667","0.455","0.504","0.326","7","24","96.6","21.8","2120","92.0","91.90","9","57","90","-0.1","6.37","106","165","116","150","306","329","297"
"146",656457,"Gilbert, Tyler","600","24.3","0.261","0.000","0.316","0.261","0.299","0.286","0.199","6","23","80.2","14.8","2167","89.7","88.88","9","65","81","-0.8","5.79","111","151","112","150","294","325","296"
"146",544727,"Familia, Jeurys","1017","14.4","0.073","0.000","0.188","0.073","0.197","0.242","0.112","3","41","91.7","22.7","2382","97.2","96.37","23","72","74","-0.8","5.79","117","158","119","150","295","321","298"
"145",641312,"Anderson, Shaun","437","33.2","0.359","0.359","0.345","0.718","0.472","0.394","0.286","14","39","93.0","21.9","2528","93.2","93.32","17","74","71","0.1","6.68","111","152","119","148","300","324","298"
"143",667498,"Dugger, Robert","461","31.0","0.286","0.200","0.290","0.486","0.377","0.399","0.315","10","35","93.0","19.2","2103","91.3","90.97","6","65","78","-0.3","6.07","110","154","118","148","289","325","297"
"141",622065,"Young, Alex","912","15.5","0.375","0.375","0.333","0.750","0.532","0.590","0.435","9","24","90.3","2.7","2257","91.3","90.69","9","55","86","-0.6","5.88","112","151","118","150","295","323","299"
"140",607457,"Barraclough, Kyle","268","52.2","0.182","0.136","0.273","0.318","0.304","0.315","0.151","4","22","88.1","19.7","2370","93.1","93.31","20","64","76","0.2","6.43","106","157","120","149","300","332","297"
"140",664054,"Stashak, Cody","308","45.5","0.308","0.154","0.389","0.462","0.399","0.394","0.252","8","26","90.4","22.5","2210","90.6","89.82","17","64","76","-0.8","5.84","105","156","116","147","304","331","296"
"139",594056,"Guduan, Reymin","229","60.7","0.389","0.111","0.351","0.500","0.369","0.460","0.383","14","36","89.7","12.4","2302","93.8","93.22","8","65","74","-0.6","6.00","111","148","122","149","300","325","301"
"139",656322,"Coonrod, Sam","712","19.5","0.182","0.045","0.444","0.227","0.209","0.169","0.115","8","44","86.2","7.7","2282","98.5","98.88","38","86","53","0.4","6.55","112","151","116","149","296","321","294"
"137",605521,"Warren, Art","338","40.5","0.250","0.208","0.313","0.458","0.376","0.318","0.205","6","24","84.7","6.6","2193","95.2","95.59","17","58","79","0.4","6.42","114","151","120","147","294","317","290"
"135",656266,"Bukauskas, J.B.","286","47.2","0.500","0.321","0.480","0.821","0.572","0.486","0.369","14","28","94.3","15.9","2308","94.5","92.98","6","61","74","-1.5","5.45","111","152","117","150","300","326","298"
"135",518489,"Brasier, Ryan","197","68.5","0.308","0.000","0.348","0.308","0.304","0.356","0.292","8","26","89.0","0.7","2135","95.1","95.99","13","69","66","0.9","6.81","111","156","117","151","293","326","297"
"135",605441,"Ríos, Yacksel","458","29.5","0.267","0.233","0.350","0.500","0.373","0.401","0.250","8","30","91.3","21.9","2054","96.9","96.76","17","63","72","-0.1","6.23","113","154","119","149","294","328","301"
"135",543351,"Jackson, Jay","391","34.5","0.154","0.115","0.200","0.269","0.275","0.336","0.196","4","26","89.0","19.1","2284","94.8","94.76","14","52","83","0.0","6.31","109","154","112","149","299","323","298"
"134",641447,"Castano, Daniel","333","40.2","0.297","0.270","0.300","0.568","0.386","0.426","0.346","11","37","86.9","15.8","2214","90.4","90.04","11","69","65","-0.4","6.05","108","151","117","148","295","310","288"
"133",543056,"Coulombe, Danny","529","25.1","0.306","0.222","0.321","0.528","0.369","0.358","0.284","11","36","94.1","7.0","2246","90.4","89.21","9","72","61","-1.2","5.79","101","151","112","146","299","328","295"
"130",593604,"Baldonado, Alberto","215","60.5","0.273","0.182","0.333","0.455","0.367","0.374","0.253","9","33","84.9","15.5","2259","93.8","94.21","15","62","68","0.4","6.48","111","151","120","141","298","325","293"
"130",547179,"Lorenzen, Michael","481","27.0","0.205","0.128","0.259","0.333","0.234","0.235","0.208","8","39","91.5","23.2","2409","96.6","95.74","15","70","60","-0.9","5.72","116","152","118","148","289","320","292"
"129",669424,"Lambert, Jimmy","246","52.4","0.303","0.182","0.333","0.485","0.380","0.350","0.263","10","33","88.8","20.7","2054","93.6","92.94","11","72","57","-0.7","5.77","111","153","109","149","299","312","293"
"128",676083,"Junk, Janson","247","51.8","0.310","0.414","0.238","0.724","0.445","0.501","0.368","9","29","86.4","11.8","2357","92.5","92.21","10","58","70","-0.3","6.05","117","158","117","149","304","325","299"
"128",656620,"Klobosits, Gabe","194","66.0","0.313","0.063","0.357","0.375","0.332","0.282","0.237","10","32","94.6","17.8","2183","94.7","95.09","13","69","59","0.4","6.47","106","156","118","144","303","325","304"
"127",458676,"Lindblom, Josh","342","37.1","0.300","0.133","0.450","0.433","0.365","0.345","0.262","9","30","92.5","25.2","2593","90.3","90.08","14","62","65","-0.2","6.25","104","151","119","147","302","324","294"
"127",676424,"Bettinger, Alec","199","63.8","0.250","0.094","0.286","0.344","0.280","0.339","0.307","8","32","90.7","20.7","2106","91.5","92.01","10","70","57","0.5","6.56","112","153","120","149","296","319","295"
"125",605541,"Wright Jr., Mike","325","38.5","0.226","0.097","0.269","0.323","0.287","0.251","0.186","7","31","85.4","15.8","2223","91.9","92.14","13","68","57","0.2","6.35","110","152","117","149","299","320","295"
"125",592094,"Adam, Jason","218","57.3","0.296","0.259","0.412","0.556","0.410","0.319","0.200","8","27","88.4","24.4","2605","93.8","94.45","13","62","63","0.7","6.73","113","150","116","147","294","317","294"
"124",613534,"Adams, Austin","962","12.9","0.294","0.294","0.385","0.588","0.438","0.339","0.224","5","17","85.9","19.3","2571","94.1","93.40","11","43","81","-0.7","5.88","114","153","127","145","302","321","311"
"124",607560,"Harper, Ryne","567","21.9","0.200","0.167","0.227","0.367","0.302","0.290","0.211","6","30","87.0","11.7","1822","86.5","87.08","10","52","72","0.6","6.42","108","154","124","143","300","318","292"
"124",676050,"Naughton, Packy","383","32.4","0.417","0.125","0.500","0.542","0.461","0.409","0.341","10","24","92.6","18.1","2035","90.5","89.77","5","49","75","-0.7","5.81","108","154","117","147","303","325","298"
"122",592169,"Brice, Austin","274","44.5","0.222","0.185","0.278","0.407","0.342","0.301","0.156","6","27","93.2","27.9","2244","92.6","91.00","13","58","64","-1.6","5.46","113","153","123","147","288","319","296"
"119",570257,"Rodríguez, Joely","775","15.4","0.360","0.240","0.389","0.600","0.441","0.413","0.272","9","25","88.9","18.8","2059","93.9","93.87","10","43","76","0.0","6.40","110","149","119","142","298","321","289"
"119",667725,"Tyler, Kyle","190","62.6","0.034","0.103","0.000","0.138","0.187","0.282","0.137","1","29","88.1","20.7","2140","91.0","92.02","6","56","63","1.0","6.87","111","156","122","149","305","324","296"
"119",453281,"LeBlanc, Wade","794","15.0","0.189","0.162","0.161","0.351","0.252","0.353","0.276","7","37","85.8","24.0","1994","87.5","87.25","6","56","63","-0.3","6.11","113","153","117","148","298","316","290"
"119",501625,"Álvarez, José","970","12.3","0.172","0.138","0.174","0.310","0.249","0.293","0.211","5","29","85.6","13.0","2302","91.3","91.33","11","53","66","0.0","6.44","114","156","114","151","293","321","295"
"118",593974,"Peralta, Wandy","808","14.6","0.294","0.588","0.143","0.882","0.496","0.530","0.349","5","17","93.5","9.2","2207","95.6","94.37","9","43","75","-1.2","5.63","107","151","117","147","298","321","290"
"118",657240,"Merryweather, Julian","217","54.4","0.259","0.333","0.235","0.593","0.377","0.429","0.305","7","27","91.0","20.4","2262","97.5","98.04","13","68","50","0.5","6.77","107","154","131","148","297","322","289"
