"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"292",672335,"Pérez, Cionel","454","64.3","0.262","0.148","0.318","0.410","0.365","0.350","0.241","16","61","90.7","6.9","2107","96.0","95.50","32","121","171","-0.5","5.86","108","152","118","146","295","316","286"
"290",683232,"Mears, Nick","452","64.2","0.246","0.193","0.262","0.439","0.353","0.368","0.253","14","57","89.0","15.8","2184","95.6","96.36","43","161","129","0.8","6.68","111","152","121","149","300","322","293"
"290",670056,"Baragar, Caleb","358","81.0","0.269","0.134","0.298","0.403","0.329","0.336","0.241","18","67","88.4","29.7","2363","92.8","93.05","31","149","141","0.3","6.59","108","153","116","148","296","321","291"
"289",656638,"Lange, Alex","639","45.2","0.312","0.156","0.328","0.468","0.388","0.422","0.326","24","77","96.0","12.5","2342","96.4","96.49","15","131","158","0.1","6.45","108","155","120","148","297","325","295"
"289",425794,"Wainwright, Adam","3068","9.4","0.261","0.246","0.333","0.507","0.346","0.344","0.265","18","69","91.9","9.3","2228","89.0","89.71","12","98","191","0.7","6.57","118","160","119","149","299","321","302"
"287",660546,"Díaz, Yennsy","447","64.2","0.263","0.175","0.302","0.439","0.355","0.316","0.221","15","57","89.8","27.0","1996","95.4","94.71","33","129","158","-0.7","6.04","110","153","115","147","303","323","297"
"286",545343,"Head, Louis","546","52.4","0.172","0.086","0.184","0.259","0.217","0.304","0.206","10","58","88.2","29.0","2254","93.7","93.31","34","161","125","-0.4","6.18","110","156","120","152","299","323","296"
"284",661563,"Gil, Luis","532","53.4","0.240","0.140","0.286","0.380","0.335","0.342","0.230","12","50","91.2","30.0","2445","96.1","96.97","38","136","148","0.9","6.81","111","151","125","142","302","319","282"
"281",663734,"Neidert, Nick","598","47.0","0.323","0.161","0.333","0.484","0.403","0.422","0.327","20","62","89.7","16.4","2071","91.7","91.34","16","130","151","-0.4","6.21","107","149","117","149","299","314","286"
"280",666205,"Muller, Kyle","677","41.4","0.275","0.098","0.317","0.373","0.334","0.320","0.247","14","51","89.7","17.0","2435","93.4","93.46","21","115","165","0.1","6.23","104","150","118","144","308","322","289"
"280",663753,"Knehr, Reiss","513","54.6","0.167","0.133","0.196","0.300","0.276","0.347","0.227","10","60","88.9","26.1","2395","93.5","94.16","28","133","147","0.7","6.63","112","153","123","146","300","323","310"
"276",605513,"Turnbull, Spencer","775","35.6","0.203","0.125","0.267","0.328","0.270","0.264","0.198","13","64","87.0","15.3","2497","93.9","94.15","39","156","120","0.3","6.32","110","152","114","149","299","328","301"
"276",502624,"Anderson, Chase","852","32.4","0.286","0.446","0.220","0.732","0.460","0.462","0.304","16","56","88.2","14.9","2121","91.5","91.01","29","126","150","-0.5","5.91","112","151","115","150","298","325","293"
"275",542960,"Brach, Brad","579","47.5","0.250","0.268","0.333","0.518","0.375","0.339","0.206","14","56","90.2","24.6","2178","93.6","93.14","30","124","151","-0.5","6.05","113","152","118","147","294","317","288"
"273",572125,"Selman, Sam","494","55.3","0.214","0.048","0.250","0.262","0.300","0.349","0.256","9","42","84.2","20.1","2346","90.9","91.48","27","130","143","0.6","6.49","110","152","120","147","301","325","295"
"273",570632,"Ureña, José","1695","16.1","0.302","0.279","0.282","0.581","0.425","0.512","0.360","13","43","95.0","19.7","2113","94.3","94.06","13","101","172","-0.2","6.29","109","155","115","149","301","327","296"
"272",605452,"Ross, Joe","1700","16.0","0.220","0.240","0.304","0.460","0.334","0.298","0.197","11","50","85.2","22.3","2128","93.6","94.15","49","130","142","0.6","6.57","111","157","124","145","304","324","300"
"271",657746,"Ryan, Joe","412","65.8","0.172","0.190","0.184","0.362","0.253","0.304","0.202","10","58","88.1","29.4","2175","91.2","91.38","31","153","118","0.2","6.35","112","163","116","151","294","330","292"
"271",605177,"Chafin, Andrew","947","28.6","0.188","0.087","0.224","0.275","0.254","0.316","0.236","13","69","88.3","20.2","2139","91.8","92.19","13","123","148","0.4","6.68","110","154","114","151","297","324","299"
"271",660365,"Yang, Hyeon-Jong","592","45.8","0.340","0.113","0.378","0.453","0.396","0.404","0.317","18","53","86.3","14.7","2168","89.9","90.57","24","130","141","0.7","6.65","112","154","122","146","299","325","297"
"270",642028,"Rogers, Josh","533","50.7","0.250","0.194","0.246","0.444","0.333","0.363","0.277","18","72","89.9","17.7","2078","90.5","90.12","19","139","131","-0.4","6.11","105","152","116","143","299","320","284"
"268",547001,"Poteet, Cody","549","48.8","0.212","0.173","0.257","0.385","0.327","0.358","0.244","11","52","92.8","23.1","2422","93.6","92.79","25","132","136","-0.8","5.80","107","151","119","148","297","318","282"
"266",455119,"Martin, Chris","663","40.1","0.308","0.154","0.383","0.462","0.349","0.314","0.268","20","65","92.4","8.6","2118","94.8","95.17","28","144","122","0.4","6.48","107","151","130","142","300","320","292"
"260",533167,"Shoemaker, Matt","1064","24.4","0.361","0.333","0.333","0.694","0.477","0.515","0.361","13","36","94.5","24.8","2228","91.6","91.18","19","102","158","-0.4","6.05","108","159","114","151","301","334","297"
